Hhid,loyalty,preferred_store_format,lifestyle,gender
1073401,Occasional Shoppers,Mom and Pop Stores,Middle Class,F
1073551,Occasional Shoppers,Large Stores,Middle Class,F
1074141,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1074291,Occasional Shoppers,Others,Low Affluent Customers,M
1074861,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1074901,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1075071,Occasional Shoppers,Very Large Stores,Very Affluent Customers,F
1075111,Occasional Shoppers,Large Stores,Middle Class,F
1075641,Occasional Shoppers,Large Stores,Very Affluent Customers,F
1075831,Very Frequent Shoppers,Large Stores,Very Affluent Customers,M
1076421,Very Frequent Shoppers,Large Stores,Middle Class,F
1076801,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1077011,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1077201,Occasional Shoppers,Large Stores,Middle Class,F
1077351,Occasional Shoppers,Small Stores,Middle Class,F
1077541,Occasional Shoppers,Others,Very Affluent Customers,F
1077691,Occasional Shoppers,Large Stores,Middle Class,F
1077731,Very Frequent Shoppers,Large Stores,Middle Class,F
1077881,Very Frequent Shoppers,Small Stores,Middle Class,F
1078321,Very Frequent Shoppers,Others,Middle Class,F
1078511,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1079061,No longer Shopping,Large Stores,Very Affluent Customers,F
1079441,Occasional Shoppers,Large Stores,Low Affluent Customers,M
1080381,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1080421,Occasional Shoppers,Large Stores,Middle Class,F
1080951,Lapsing Shoppers,Large Stores,Middle Class,F
1081161,Very Frequent Shoppers,Large Stores,Low Affluent Customers,M
1081201,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1081351,Very Frequent Shoppers,Large Stores,Middle Class,F
1081691,Occasional Shoppers,Large Stores,Middle Class,F
1081881,Occasional Shoppers,Very Large Stores,Middle Class,F
1081921,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1082321,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1082701,Occasional Shoppers,Large Stores,Middle Class,F
1083631,Very Frequent Shoppers,Large Stores,Middle Class,F
1083821,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1084031,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1084371,Occasional Shoppers,Large Stores,Middle Class,F
1084411,Lapsing Shoppers,Others,Low Affluent Customers,M
1084601,Occasional Shoppers,Mom and Pop Stores,Low Affluent Customers,F
1085001,Lapsing Shoppers,Large Stores,Low Affluent Customers,F
1085491,Occasional Shoppers,Mom and Pop Stores,Very Affluent Customers,F
1085531,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1085871,Very Frequent Shoppers,Large Stores,Middle Class,F
1086991,No longer Shopping,Large Stores,Middle Class,F
1087241,Very Frequent Shoppers,Large Stores,Middle Class,F
1087961,Lapsing Shoppers,Large Stores,Low Affluent Customers,F
1088401,Occasional Shoppers,Large Stores,Low Affluent Customers,M
1088741,Occasional Shoppers,Very Large Stores,Middle Class,M
1089331,Very Frequent Shoppers,Large Stores,Very Affluent Customers,M
1089481,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1089711,Lapsing Shoppers,Large Stores,Low Affluent Customers,F
1089861,Very Frequent Shoppers,Large Stores,Middle Class,F
1090121,Very Frequent Shoppers,Large Stores,Very Affluent Customers,M
1090461,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1090501,Occasional Shoppers,Mom and Pop Stores,Low Affluent Customers,F
1090841,Occasional Shoppers,Mom and Pop Stores,Low Affluent Customers,F
1090991,Very Frequent Shoppers,Large Stores,Low Affluent Customers,M
1091051,No longer Shopping,Very Large Stores,NA,F
1091241,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
1091431,Occasional Shoppers,Very Large Stores,Middle Class,F
1091771,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1091811,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1092551,Occasional Shoppers,Large Stores,Very Affluent Customers,F
1092741,Very Frequent Shoppers,Large Stores,Middle Class,F
1092891,Occasional Shoppers,Very Large Stores,Very Affluent Customers,F
1093141,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,M
1093291,Very Frequent Shoppers,Large Stores,Middle Class,F
1093481,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
1093711,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1093901,Occasional Shoppers,Mom and Pop Stores,Middle Class,F
1094111,Occasional Shoppers,Mom and Pop Stores,Low Affluent Customers,F
1094261,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1095381,No longer Shopping,Mom and Pop Stores,Middle Class,F
1095611,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
1095761,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1096011,Very Frequent Shoppers,Large Stores,Very Affluent Customers,M
1096201,Very Frequent Shoppers,Large Stores,Middle Class,F
1096541,Very Frequent Shoppers,Large Stores,Middle Class,F
1096691,Occasional Shoppers,Large Stores,Very Affluent Customers,F
1096881,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1097091,Occasional Shoppers,Very Large Stores,Low Affluent Customers,M
1097131,Very Frequent Shoppers,Large Stores,Middle Class,F
1097281,No longer Shopping,Others,Low Affluent Customers,M
1098061,Very Frequent Shoppers,Large Stores,Middle Class,F
1098101,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1098441,No longer Shopping,Others,NA,M
1098971,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1099031,Lapsing Shoppers,Large Stores,Low Affluent Customers,F
1099221,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1099411,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1099601,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1099751,Occasional Shoppers,Others,Low Affluent Customers,F
1100261,Very Frequent Shoppers,Large Stores,Middle Class,F
1100451,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1100791,No longer Shopping,Others,Middle Class,F
1100831,Very Frequent Shoppers,Large Stores,Low Affluent Customers,M
1101191,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1101231,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1101421,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1101571,No longer Shopping,Large Stores,Very Affluent Customers,F
1102011,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1102201,Very Frequent Shoppers,Large Stores,Low Affluent Customers,M
1102351,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1102691,Very Frequent Shoppers,Very Large Stores,Middle Class,M
1102731,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1102921,Very Frequent Shoppers,Large Stores,Middle Class,F
1103661,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1104591,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1104631,Very Frequent Shoppers,Large Stores,Middle Class,F
1104781,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1104821,No longer Shopping,Large Stores,Middle Class,F
1105031,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1105181,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,M
1105221,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1105411,No longer Shopping,Mom and Pop Stores,Low Affluent Customers,F
1105561,Very Frequent Shoppers,Mom and Pop Stores,Middle Class,F
1105601,Very Frequent Shoppers,Large Stores,Low Affluent Customers,M
1106001,Occasional Shoppers,Large Stores,Low Affluent Customers,M
1106341,Lapsing Shoppers,Others,Low Affluent Customers,F
1107121,Occasional Shoppers,Large Stores,Very Affluent Customers,F
1107271,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1107841,No longer Shopping,Large Stores,Middle Class,F
1108431,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1108581,Occasional Shoppers,Very Large Stores,Low Affluent Customers,M
1108621,Very Frequent Shoppers,Large Stores,Middle Class,F
1108771,Occasional Shoppers,Very Large Stores,Middle Class,M
1108961,Occasional Shoppers,Large Stores,Middle Class,F
1109021,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1109211,Very Frequent Shoppers,Large Stores,Middle Class,F
1109741,Occasional Shoppers,Large Stores,Middle Class,F
1109891,Very Frequent Shoppers,Large Stores,Middle Class,F
1110001,Very Frequent Shoppers,Large Stores,Very Affluent Customers,M
1110151,Very Frequent Shoppers,Large Stores,Middle Class,F
1110341,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1110911,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1111081,Occasional Shoppers,Mom and Pop Stores,Low Affluent Customers,F
1111311,Very Frequent Shoppers,Large Stores,Middle Class,F
1111461,Very Frequent Shoppers,Large Stores,Middle Class,M
1111841,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1112241,Occasional Shoppers,Large Stores,Middle Class,M
1112391,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
1113021,Very Frequent Shoppers,Large Stores,Very Affluent Customers,M
1113211,Very Frequent Shoppers,Large Stores,Middle Class,M
1113401,Very Frequent Shoppers,Large Stores,Middle Class,F
1113741,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1114141,Occasional Shoppers,Others,Middle Class,F
1114711,No longer Shopping,Others,Very Affluent Customers,F
1114861,No longer Shopping,Large Stores,Low Affluent Customers,X
1115301,Occasional Shoppers,Small Stores,Low Affluent Customers,F
1116041,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1116191,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1116231,Occasional Shoppers,Large Stores,Low Affluent Customers,X
1116761,Occasional Shoppers,Large Stores,Middle Class,F
1117541,Occasional Shoppers,Others,Low Affluent Customers,F
1117921,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1118091,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1118131,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1118281,Very Frequent Shoppers,Large Stores,Low Affluent Customers,M
1118321,Very Frequent Shoppers,Large Stores,Middle Class,F
1118471,Very Frequent Shoppers,Large Stores,Middle Class,F
1119061,Very Frequent Shoppers,Large Stores,Middle Class,F
1119101,Very Frequent Shoppers,Large Stores,Middle Class,F
1119251,Occasional Shoppers,Large Stores,Middle Class,F
1119441,Very Frequent Shoppers,Large Stores,Very Affluent Customers,M
1119631,Occasional Shoppers,Others,Middle Class,F
1119971,Occasional Shoppers,Others,Low Affluent Customers,F
1120041,Occasional Shoppers,Large Stores,Very Affluent Customers,F
1120381,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1120421,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1121011,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1121541,Occasional Shoppers,Large Stores,Very Affluent Customers,F
1122131,Occasional Shoppers,Others,Middle Class,F
1122321,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1122471,Very Frequent Shoppers,Large Stores,Middle Class,F
1122661,Occasional Shoppers,Others,Very Affluent Customers,F
1122701,Very Frequent Shoppers,Large Stores,Middle Class,F
1123101,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1123251,Occasional Shoppers,Large Stores,Very Affluent Customers,F
1123781,Very Frequent Shoppers,Large Stores,Middle Class,F
1123821,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
1123971,Very Frequent Shoppers,Large Stores,Middle Class,M
1124031,Occasional Shoppers,Others,Low Affluent Customers,M
1124601,Very Frequent Shoppers,Large Stores,Middle Class,M
1124751,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1125341,No longer Shopping,Mom and Pop Stores,Middle Class,F
1125491,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1125531,Occasional Shoppers,Large Stores,Middle Class,F
1125721,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1125911,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,M
1126081,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1126121,Occasional Shoppers,Large Stores,Middle Class,F
1126271,Very Frequent Shoppers,Large Stores,Middle Class,F
1126501,Lapsing Shoppers,Large Stores,Very Affluent Customers,M
1126651,Very Frequent Shoppers,Large Stores,Middle Class,F
1127431,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1127621,Very Frequent Shoppers,Large Stores,Low Affluent Customers,M
1127771,No longer Shopping,Large Stores,Middle Class,F
1128021,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1128171,Very Frequent Shoppers,Large Stores,Middle Class,F
1128361,Very Frequent Shoppers,Large Stores,Middle Class,F
1128401,Occasional Shoppers,Others,Very Affluent Customers,F
1128741,Occasional Shoppers,Large Stores,Very Affluent Customers,F
1128891,No longer Shopping,Others,Very Affluent Customers,F
1128931,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1129331,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1129481,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
1129671,Very Frequent Shoppers,Very Large Stores,Middle Class,M
1129861,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1130271,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1130311,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1130501,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1130841,No longer Shopping,Very Large Stores,Middle Class,F
1131241,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1131431,Very Frequent Shoppers,Large Stores,Middle Class,F
1131621,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
1131771,No longer Shopping,Very Large Stores,Low Affluent Customers,F
1132171,Very Frequent Shoppers,Large Stores,Middle Class,M
1132211,Occasional Shoppers,Large Stores,Very Affluent Customers,F
1132401,Occasional Shoppers,Very Large Stores,Very Affluent Customers,F
1132891,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1133671,Very Frequent Shoppers,Large Stores,Middle Class,F
1133861,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1134111,Very Frequent Shoppers,Very Large Stores,Low Affluent Customers,F
1134831,No longer Shopping,Very Large Stores,Middle Class,F
1134981,Very Frequent Shoppers,Large Stores,Middle Class,M
1135191,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
1135421,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1135951,Occasional Shoppers,Very Large Stores,Low Affluent Customers,F
1136011,Very Frequent Shoppers,Very Large Stores,Very Affluent Customers,F
1136161,Very Frequent Shoppers,Large Stores,Very Affluent Customers,F
1136201,Occasional Shoppers,Large Stores,Middle Class,F
1136881,Very Frequent Shoppers,Large Stores,Low Affluent Customers,F
1137661,Very Frequent Shoppers,Large Stores,Middle Class,M
1137701,Very Frequent Shoppers,Very Large Stores,Middle Class,M
1137851,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1138061,Occasional Shoppers,Small Stores,NA,F
1138101,Occasional Shoppers,Large Stores,Low Affluent Customers,F
1138441,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1138631,Very Frequent Shoppers,Large Stores,Middle Class,M
1139031,Lapsing Shoppers,Large Stores,Middle Class,F
1139181,Very Frequent Shoppers,Very Large Stores,Middle Class,M
1139601,Occasional Shoppers,Very Large Stores,Middle Class,M
1139941,Occasional Shoppers,Mom and Pop Stores,Middle Class,M
1140011,Very Frequent Shoppers,Very Large Stores,Middle Class,F
1140161,Occasional Shoppers,Large Stores,Middle Class,M
1140351,Occasional Shoppers,Large Stores,Middle Class,F
1140541,Very Frequent Shoppers,Very Large Stores,Middle Class,F
